2.3,234.79,207.11
2.31,236.87,208.07
2.32,238.97,209.02
2.33,241.08,209.98
2.34,243.2,210.94
2.35,245.33,211.9
2.36,247.46,212.85
2.37,249.61,213.81
2.38,251.77,214.77
2.39,253.93,215.73
2.4,256.11,216.69
2.41,258.29,217.65
2.42,260.49,218.61
2.43,262.69,219.57
2.44,264.91,220.54
2.45,267.13,221.5
2.46,269.36,222.46
2.47,271.61,223.42
2.48,273.86,224.39
2.49,276.12,225.35
2.5,278.4,226.32
2.51,280.68,227.28
2.52,282.97,228.25
2.53,285.27,229.21
2.54,287.58,230.18
2.55,289.9,231.15
2.56,292.23,232.11
2.57,294.57,233.08
2.58,296.92,234.05
2.59,299.28,235.02
2.6,301.65,235.99
2.61,304.03,236.96
2.62,306.42,237.93
2.63,308.82,238.9
2.64,311.23,239.87
2.65,313.65,240.84
2.66,316.08,241.81
2.67,318.51,242.78
2.68,320.96,243.76
2.69,323.42,244.73
2.7,325.89,245.7
2.71,328.36,246.68
2.72,330.85,247.65
2.73,333.35,248.63
2.74,335.85,249.6
2.75,338.37,250.58
2.76,340.9,251.56
2.77,343.43,252.53
2.78,345.98,253.51
2.79,348.53,254.49
2.8,351.1,255.47
2.81,353.67,256.45
2.82,356.26,257.42
2.83,358.85,258.4
2.84,361.46,259.38
2.85,364.07,260.36
2.86,366.7,261.35
2.87,369.33,262.33
2.88,371.98,263.31
2.89,374.63,264.29
2.9,377.29,265.27
2.91,379.97,266.26
2.92,382.65,267.24
2.93,385.34,268.23
2.94,388.05,269.21
2.95,390.76,270.2
2.96,393.49,271.18
2.97,396.22,272.17
2.98,398.96,273.15
2.99,401.71,274.14
3,404.48,275.13
3.01,407.25,276.12
3.02,410.03,277.1
3.03,412.83,278.09
3.04,415.63,279.08
3.05,418.44,280.07
3.06,421.26,281.06
3.07,424.1,282.05
3.08,426.94,283.04
3.09,429.79,284.03
3.1,432.65,285.02
3.11,435.53,286.02
3.12,438.41,287.01
3.13,441.3,288
3.14,444.2,289
3.15,447.12,289.99
3.16,450.04,290.98
3.17,452.97,291.98
3.18,455.91,292.97
3.19,458.86,293.97
3.2,461.83,294.96
3.21,464.8,295.96
3.22,467.78,296.96
3.23,470.77,297.96
3.24,473.78,298.95
3.25,476.79,299.95
3.26,479.81,300.95
3.27,482.84,301.95
3.28,485.89,302.95
3.29,488.94,303.95
3.3,492,304.95
3.31,495.07,305.95
3.32,498.16,306.95
3.33,501.25,307.95
3.34,504.35,308.95
3.35,507.47,309.95
3.36,510.59,310.95
3.37,513.72,311.96
3.38,516.86,312.96
3.39,520.02,313.96
3.4,523.18,314.96
3.41,526.35,315.97
3.42,529.54,316.97
3.43,532.73,317.98
3.44,535.93,318.98
3.45,539.15,319.99
3.46,542.37,320.99
3.47,545.61,322
3.48,548.85,323
3.49,552.1,324.01
3.5,555.37,325.01
3.51,558.64,326.02
3.52,561.93,327.02
3.53,565.22,328.03
3.54,568.52,329.03
3.55,571.84,330.04
3.56,575.16,331.04
3.57,578.5,332.05
3.58,581.84,333.05
3.59,585.2,334.06
3.6,588.56,335.06
3.61,591.94,336.06
3.62,595.32,337.07
3.63,598.72,338.07
3.64,602.12,339.07
3.65,605.54,340.06
3.66,608.96,341.06
3.67,612.4,342.05
3.68,615.84,343.04
3.69,619.29,344.03
3.7,622.76,345.02
3.71,626.23,346
3.72,629.71,346.99
3.73,633.21,347.97
3.74,636.71,348.94
3.75,640.22,349.92
3.76,643.75,350.89
3.77,647.28,351.87
3.78,650.82,352.84
3.79,654.37,353.81
3.8,657.93,354.79
3.81,661.5,355.76
3.82,665.09,356.73
3.83,668.68,357.71
3.84,672.28,358.68
3.85,675.89,359.65
3.86,679.51,360.62
3.87,683.14,361.59
3.88,686.78,362.56
3.89,690.43,363.53
3.9,694.08,364.5
3.91,697.75,365.48
3.92,701.43,366.45
3.93,705.12,367.42
3.94,708.82,368.39
3.95,712.53,369.36
3.96,716.24,370.34
3.97,719.97,371.31
3.98,723.71,372.28
3.99,727.45,373.26
4,731.21,374.23
4.01,734.98,375.21
4.02,738.75,376.18
4.03,742.54,377.15
4.04,746.33,378.13
4.05,750.14,379.11
4.06,753.96,380.08
4.07,757.78,381.06
4.08,761.62,382.03
4.09,765.46,383.01
4.1,769.32,383.99
4.11,773.18,384.97
4.12,777.05,385.94
4.13,780.94,386.92
4.14,784.83,387.9
4.15,788.74,388.88
4.16,792.65,389.86
4.17,796.57,390.84
4.18,800.51,391.82
4.19,804.45,392.8
4.2,808.4,393.78
4.21,812.36,394.76
4.22,816.34,395.74
4.23,820.32,396.72
4.24,824.31,397.7
4.25,828.31,398.68
4.26,832.33,399.67
4.27,836.35,400.65
4.28,840.38,401.63
4.29,844.42,402.61
4.3,848.47,403.6
4.31,852.53,404.58
4.32,856.61,405.57
4.33,860.69,406.55
4.34,864.78,407.53
4.35,868.88,408.52
4.36,872.99,409.5
4.37,877.11,410.49
4.38,881.24,411.47
4.39,885.38,412.46
4.4,889.53,413.44
4.41,893.69,414.43
4.42,897.86,415.42
4.43,902.04,416.4
4.44,906.23,417.39
4.45,910.43,418.38
4.46,914.64,419.36
4.47,918.86,420.35
4.48,923.09,421.34
4.49,927.33,422.32
4.5,931.58,423.31
4.51,935.84,424.3
4.52,940.11,425.29
4.53,944.39,426.28
4.54,948.68,427.27
4.55,952.98,428.26
4.56,957.29,429.24
4.57,961.6,430.23
4.58,965.93,431.22
4.59,970.27,432.21
4.6,974.62,433.2
4.61,978.98,434.19
4.62,983.35,435.18
4.63,987.73,436.17
4.64,992.11,437.17
4.65,996.51,438.16
4.66,1000.9,439.15
4.67,1005.3,440.14
4.68,1009.8,441.13
4.69,1014.2,442.12
4.7,1018.7,443.12
4.71,1023.1,444.11
4.72,1027.6,445.1
4.73,1032.1,446.09
4.74,1036.5,447.09
4.75,1041,448.08
4.76,1045.6,449.07
4.77,1050.1,450.07
4.78,1054.6,451.06
4.79,1059.1,452.06
4.8,1063.7,453.05
4.81,1068.2,454.05
4.82,1072.8,455.04
4.83,1077.4,456.04
4.84,1082,457.03
4.85,1086.6,458.03
4.86,1091.2,459.02
4.87,1095.8,460.02
4.88,1100.4,461.01
4.89,1105.1,462.01
4.9,1109.7,463.01
4.91,1114.4,464
4.92,1119,465
4.93,1123.7,466
4.94,1128.4,467
4.95,1133.1,467.99
4.96,1137.8,468.99
4.97,1142.5,469.99
4.98,1147.3,470.99
4.99,1152,471.99
5,1156.7,472.99
5.01,1161.5,473.99
5.02,1166.3,474.99
5.03,1171,475.99
5.04,1175.8,476.99
5.05,1180.6,477.99
5.06,1185.4,478.99
5.07,1190.3,479.99
5.08,1195.1,480.99
5.09,1199.9,481.99
5.1,1204.8,482.99
5.11,1209.6,483.99
5.12,1214.5,485
5.13,1219.4,486
5.14,1224.3,487
5.15,1229.2,488
5.16,1234.1,489.01
5.17,1239,490.01
5.18,1243.9,491.01
5.19,1248.9,492.02
5.2,1253.8,493.02
5.21,1258.8,494.03
5.22,1263.7,495.03
5.23,1268.7,496.04
5.24,1273.7,497.04
5.25,1278.7,498.05
5.26,1283.7,499.05
5.27,1288.7,500.06
5.28,1293.8,501.06
5.29,1298.8,502.07
